Query,Parameter,Codigestion,TS,VS,VS_TS,SCOD,CN,N_NH4,Carbs,Protein,Lipid,ISR,CoSR,WorkVol,Temp,pH,HTR,OLR,VFAs
3,2012_He et al.,No,182.8,160,87.48,5692.1845,63.62,1237.3816,15961.5,4965.8,8551.817,33,0,2,35,3.7,9,3.7,18000
4,2012_He et al.,No,182.8,160,87.48,5910.0927,63.62,1103.865,15961.5,4965.8,8551.817,33,0,2,55,4.15,9,4.15,16000
5,2012_He et al.,No,182.8,160,87.48,6013.3957,63.62,1105.1409,15961.5,4965.8,8551.817,33,0,2,70,4.45,9,4.45,14000
6,2012_Nagao et al.,No,38.1,35.17,92.3,3000,14.06,667.903,10203.7384,5173.0708,3993.6465,1.67,0,3,37,3.77,8,3.77,8149
7,2012_Nagao et al.,No,38.1,35.17,92.3,3000,14.06,560.7078,7850.3756,3948.3882,2348.7345,1.67,0,3,37,6.46,16,6.46,19210
8,2012_Xu et al.,No,83.7,81.27,97.1,16912.6476,22.2433,744.6967,32560.0626,12801.9848,7692.4131,15.1613,0,4.6,35,4.4,17,4.4,6800
9,2012_Xu et al.,No,83.7,81.27,97.1,19371.3779,20.5762,401.4786,32247.4165,11321.2903,9124.7794,5,0,4.6,35,4.85,17,4.85,10370
10,2012_Xu et al.,No,83.7,81.27,97.1,20638.2424,20.8325,565.1645,31673.3955,12070.9746,8003.574,20,0,4.6,35,4.85,17,4.85,10370
11,2012_Xu et al.,No,83.7,81.27,97.1,21692.7762,18.2107,425.5169,26995.9569,11893.319,7964.0503,80,0,4.6,35,4.85,17,4.85,11800
15,2013_Jiang et al.,No,205.3,199.5,97.17,86920,13.45,650,30248.4021,11712.1967,6481.1829,21.05,0,4.5,35,3,8,3,13940
16,2013_Jiang et al.,No,205.3,199.5,97.17,58293.7245,13.45,650,43019.5158,12175.396,12303.5093,21.05,0,4.5,35,5,8,5,17080
17,2013_Jiang et al.,No,205.3,199.5,97.17,86920,13.45,2140,46786.7338,13088.6752,13893.6493,21.05,0,4.5,35,6,8,6,39460
